	Unnamed: 0	genome_id	resistant_phenotype
0	38208	1328432.3	0
1	38240	1328434.3	1
2	38255	1438684.3	1
3	38272	1438685.3	1
4	38288	1438686.3	1
5	38308	562.22560	1
6	38326	562.22782	0
7	38339	562.23244	0
8	38349	562.23267	0
9	38359	562.23563	0
10	38369	562.23560	0
11	38385	562.22824	0
12	38398	562.23245	0
13	38408	562.23869	1
14	38428	562.23807	0
15	38437	562.23135	0
16	38456	562.23529	0
17	38485	562.23536	0
18	38495	562.23759	0
19	38553	562.23786	0
20	38582	562.23166	0
21	38592	562.23743	0
22	38627	562.22687	0
23	38650	562.23472	0
24	38660	562.23510	0
25	38670	562.22996	0
26	38704	562.22639	0
27	38723	562.22741	0
28	38742	562.22764	0
29	38761	562.22792	0
30	38800	562.22780	0
31	38819	562.22582	1
32	38838	562.22791	0
33	38851	562.23064	0
34	38871	562.23165	0
35	38881	562.23808	0
36	38891	562.23285	0
37	38901	562.23603	0
38	38911	562.23630	0
39	38921	562.23773	0
40	38941	562.23892	0
41	38957	562.22599	0
42	38976	562.22675	0
43	38995	562.22743	0
44	39022	562.22503	1
45	39034	562.22854	1
46	39043	562.23788	1
47	39059	562.22757	0
48	39072	562.23216	0
49	39082	562.23641	0
50	39098	562.22464	0
51	39117	562.22562	0
52	39129	562.22835	0
53	39137	562.22847	1
54	39145	562.22860	1
55	39154	562.22933	1
56	39164	562.22997	1
57	39184	562.23800	1
58	39194	562.23494	1
59	39204	562.23470	1
60	39224	562.23391	1
61	39234	562.23717	0
62	39244	562.23721	1
63	39254	562.23897	0
64	39264	562.23878	0
65	39309	562.22809	0
66	39341	562.23298	0
67	39351	562.23290	0
68	39361	562.23697	1
69	39371	562.23774	0
70	39381	562.23906	0
71	39430	562.23431	0
72	39446	562.22590	0
73	39465	562.22699	0
74	39484	562.22716	0
75	39497	562.23825	0
76	39513	562.22449	0
77	39545	562.23904	0
78	39561	562.22466	0
79	39580	562.22480	0
80	39599	562.22453	0
81	39618	562.22807	0
82	39630	562.22862	0
83	39639	562.23004	0
84	39649	562.23514	0
85	39659	562.23582	0
86	39675	562.22505	0
87	39698	562.23643	0
88	39708	562.23142	0
89	39718	562.23439	0
90	39758	562.23101	0
91	39768	562.23607	0
92	39778	562.23728	0
93	39804	562.22487	0
94	39842	562.22580	0
95	39880	562.22654	0
96	39899	562.22667	0
97	39918	562.22678	0
98	39937	562.22740	0
99	39975	562.22823	0
100	39987	562.22883	0
101	39996	562.22945	0
102	40006	562.23223	0
