ISO	drug1	drug2	drug3
ISO001	1	0	0
ISO002	1	1	1
ISO003	1	0	0
ISO004	1	0	0
ISO005	1	1	0
ISO006	0	0	1
ISO007	1	0	1
ISO008	0	0	1
ISO009	1	1	0
ISO010	0	1	0
ISO011	1	1	1
ISO012	0	1	1
ISO013	0	0	0
ISO014	0	1	1
ISO015	0	0	0
ISO016	1	1	0
ISO017	0	0	1
ISO018	0	1	0
ISO019	1	1	0
ISO020	1	0	0
ISO021	1	0	1
ISO022	0	1	0
ISO023	0	1	0
ISO024	1	1	0
ISO025	1	1	1
ISO026	0	0	1
ISO027	1	1	0
ISO028	1	1	0
ISO029	0	0	0
ISO030	1	1	1
ISO031	1	0	1
ISO032	1	1	1
ISO033	1	0	1
ISO034	0	0	0
ISO035	1	1	0
ISO036	0	0	0
ISO037	1	1	1
ISO038	1	1	1
ISO039	1	0	0
ISO040	1	1	1
ISO041	0	0	1
ISO042	1	0	0
ISO043	1	1	1
ISO044	1	1	1
ISO045	1	0	0
ISO046	0	1	0
ISO047	1	0	1
ISO048	1	0	1
ISO049	0	1	1
ISO050	1	1	0
ISO051	1	0	0
ISO052	0	1	0
ISO053	0	0	0
ISO054	1	0	0
ISO055	0	1	1
ISO056	0	1	1
ISO057	0	0	1
ISO058	1	1	0
ISO059	1	1	1
ISO060	1	1	0
ISO061	0	0	1
ISO062	1	0	0
ISO063	0	1	1
ISO064	1	0	0
ISO065	0	1	0
ISO066	1	1	0
ISO067	0	0	0
ISO068	0	1	1
ISO069	0	1	1
ISO070	1	1	0
ISO071	0	0	1
ISO072	0	0	1
ISO073	0	1	0
ISO074	1	0	0
ISO075	1	0	1
ISO076	0	1	1
ISO077	1	1	1
ISO078	1	1	1
ISO079	0	1	0
ISO080	0	0	1
ISO081	1	1	1
ISO082	1	0	1
ISO083	1	0	1
ISO084	0	1	0
ISO085	1	0	0
ISO086	0	0	0
ISO087	0	1	1
ISO088	0	0	1
ISO089	1	0	0
ISO090	1	1	1
ISO091	1	1	0
ISO092	0	0	1
ISO093	1	1	1
ISO094	1	0	0
ISO095	0	0	0
ISO096	0	1	1
ISO097	1	0	1
ISO098	1	1	1
ISO099	0	0	1
ISO100	0	1	1
